Artist,Rank,Title
Lil Nas X Featuring Billy Ray Cyrus,1,Old Town Road
Taylor Swift,2,You Need To Calm Down
Billie Eilish,3,Bad Guy
Khalid,4,Talk
Ed Sheeran & Justin Bieber,5,I Don't Care
Jonas Brothers,6,Sucker
Drake Featuring Rick Ross,7,Money In The Grave
Post Malone,8,Wow.
DaBaby,9,Suge
Chris Brown Featuring Drake,10,No Guidance
Post Malone & Swae Lee,11,Sunflower (Spider-Man: Into The Spider-Verse)
Sam Smith & Normani,12,Dancing With A Stranger
Shawn Mendes,13,If I Can't Have You
Lizzo,14,Truth Hurts
Taylor Swift Featuring Brendon Urie,15,ME!
Halsey,16,Without Me
Ava Max,17,Sweet But Psycho
Polo G Featuring Lil Tjay,18,Pop Out
Ariana Grande,19,7 Rings
Marshmello & Bastille,20,Happier
Blake Shelton,21,God's Country
Morgan Wallen,22,Whiskey Glasses
Panic! At The Disco,23,High Hopes
Panic! At The Disco,24,"Hey Look Ma, I Made It"
Lee Brice,25,Rumor
"Young Thug, J. Cole & Travis Scott",26,The London
Daddy Yankee & Katy Perry Featuring Snow,27,Con Calma
Luke Combs,28,Beer Never Broke My Heart
Katy Perry,29,Never Really Over
J. Cole,30,Middle Child
"benny blanco, Halsey & Khalid",31,Eastside
City Girls,32,Act Up
Mustard & Migos,33,Pure Water
Meek Mill Featuring Drake,34,Going Bad
Drake,35,Omerta
"Tyler, The Creator",36,Earfquake
Thomas Rhett,37,Look What God Gave Her
Khalid,38,Better
Lady Gaga & Bradley Cooper,39,Shallow
A Boogie Wit da Hoodie,40,Look Back At It
Ariana Grande,41,"Break Up With Your Girlfriend, I'm Bored"
Travis Scott,42,Sicko Mode
Dan + Shay,43,Speechless
Halsey,44,Nightmare
Billie Eilish,45,When The Party's Over
Ed Sheeran Featuring Chance The Rapper & PnB Rock,46,Cross Me
Calboy,47,Envy Me
Kane Brown,48,Good As You
"YG, Tyga & Jon Z",49,Go Loko
Jonas Brothers,50,Cool
Blanco Brown,51,The Git Up
Lil Tecca,52,Ran$om
DJ Khaled Featuring SZA,53,Just Us
Lewis Capaldi,54,Someone You Loved
P!nk,55,Walk Me Home
YK Osiris,56,Worth It
Cardi B & Bruno Mars,57,Please Me
Offset Featuring Cardi B,58,Clout
Luke Bryan,59,Knockin' Boots
Cardi B,60,Press
Maren Morris,61,GIRL
5 Seconds Of Summer,62,Easier
Meek Mill Featuring Ella Mai,63,24/7
Summer Walker X Drake,64,Girls Need Love
Eric Church,65,Some Of It
Dan + Shay,66,All To Myself
NLE Choppa,67,Shotta Flow
Bad Bunny & Tainy,68,Callaita
Jason Aldean,69,Rearview Town
Kelsea Ballerini,70,Miss Me More
Brett Eldredge,71,Love Someone
Beyonce,72,Before I Let Go
Florida Georgia Line,73,Talk You Out Of It
DJ Khaled Featuring Cardi B & 21 Savage,74,Wish Wish
"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",75,Down Bad
Chase Rice,76,Eyes On You
"Lunay, Daddy Yankee & Bad Bunny",77,Soltera
Lil Uzi Vert,78,Sanguine Paradise
Marshmello Featuring CHVRCHES,79,Here With Me
Joji,80,Sanctuary
Sech Featuring Darell,81,Otro Trago
The Chainsmokers & Bebe Rexha,82,Call You Mine
Chris Young,83,Raised On Country
SHAED,84,Trampoline
Eli Young Band,85,Love Ain't
Billie Eilish,86,Ocean Eyes
"Yella Beezy, Gucci Mane & Quavo",87,Bacc At It Again
Pedro Capo X Farruko,88,Calma
Travis Scott,89,Wake Up
Bryce Vine Featuring YG,90,La La Land
Jonas Brothers,91,Only Human
Marshmello Featuring A Day To Remember,92,Rescue Me
Megan Thee Stallion,93,Big Ole Freak
Nicky Jam X Ozuna,94,Te Robare
NAV Featuring Meek Mill,95,Tap
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,96,Baila Baila Baila
Ali Gatie,97,It's You
Juice WRLD,98,Robbery
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,99,Racks In The Middle
Justin Moore,100,The Ones That Didn't Make It Back Home
